persona,model,authority,care,equality,loyalty,proportionality,purity
Russia,llama3.3:70b,4.96 (± 0.20),5.00 (± 0.00),3.00 (± 1.00),4.86 (± 0.35),4.70 (± 0.46),3.50 (± 0.90)
Russia,mistral-large:123b,3.87 (± 0.83),3.81 (± 1.02),3.29 (± 0.84),4.18 (± 0.81),3.84 (± 0.90),3.52 (± 0.89)
Russia,qwen2.5:7b,3.60 (± 0.58),4.09 (± 0.59),3.05 (± 0.64),3.46 (± 0.81),3.88 (± 0.62),3.17 (± 0.84)
Saudi Arabia,llama3.1:8b,4.54 (± 0.64),4.82 (± 0.48),2.94 (± 1.44),4.57 (± 0.66),4.22 (± 1.11),4.22 (± 0.97)
Saudi Arabia,mistral:7b,2.00 (± 1.51),1.82 (± 1.28),2.34 (± 1.64),2.66 (± 1.68),1.75 (± 1.50),2.40 (± 1.62)
Saudi Arabia,qwen2.5:72b,4.48 (± 0.50),4.69 (± 0.46),3.03 (± 0.57),4.57 (± 0.50),4.36 (± 0.48),3.92 (± 1.03)
Saudi Arabia,llama3.3:70b,5.00 (± 0.00),5.00 (± 0.00),2.59 (± 1.04),4.84 (± 0.37),4.68 (± 0.47),4.31 (± 1.13)
Saudi Arabia,mistral-large:123b,4.42 (± 0.65),4.38 (± 0.72),2.96 (± 0.89),4.40 (± 0.65),4.13 (± 0.67),4.07 (± 0.81)
Saudi Arabia,qwen2.5:7b,3.84 (± 0.49),4.29 (± 0.58),3.00 (± 0.60),3.71 (± 0.58),3.86 (± 0.55),3.42 (± 1.08)
South Africa,llama3.1:8b,4.00 (± 1.12),4.85 (± 0.40),3.33 (± 1.38),4.64 (± 0.63),4.29 (± 1.07),3.61 (± 1.35)
South Africa,mistral:7b,2.68 (± 1.78),2.57 (± 1.78),2.91 (± 1.79),3.26 (± 1.65),2.04 (± 1.68),2.08 (± 1.61)
South Africa,qwen2.5:72b,3.92 (± 0.33),4.58 (± 0.49),3.18 (± 0.40),4.15 (± 0.35),4.07 (± 0.28),3.26 (± 0.75)
South Africa,llama3.3:70b,4.17 (± 0.37),5.00 (± 0.00),3.04 (± 1.03),4.86 (± 0.35),4.66 (± 0.47),3.22 (± 1.23)
South Africa,mistral-large:123b,3.83 (± 0.64),4.30 (± 0.67),3.62 (± 0.75),4.09 (± 0.60),4.08 (± 0.64),3.58 (± 0.72)
South Africa,qwen2.5:7b,3.72 (± 0.47),4.34 (± 0.56),3.10 (± 0.67),3.67 (± 0.51),3.99 (± 0.38),3.31 (± 0.80)
Switzerland,llama3.1:8b,3.87 (± 1.14),4.90 (± 0.33),3.11 (± 1.42),4.50 (± 0.66),4.31 (± 1.09),3.71 (± 1.34)
Switzerland,mistral:7b,1.94 (± 1.46),2.35 (± 1.62),2.32 (± 1.78),2.86 (± 1.82),1.61 (± 1.33),1.95 (± 1.53)
Switzerland,qwen2.5:72b,3.84 (± 0.39),4.48 (± 0.50),3.17 (± 0.44),4.03 (± 0.18),4.07 (± 0.29),3.15 (± 0.79)
Switzerland,llama3.3:70b,4.35 (± 0.55),5.00 (± 0.00),2.75 (± 0.95),4.83 (± 0.38),4.67 (± 0.47),3.31 (± 1.28)
Switzerland,mistral-large:123b,3.71 (± 0.68),4.17 (± 0.57),3.17 (± 0.76),3.54 (± 0.83),4.12 (± 0.51),3.33 (± 0.76)
Switzerland,qwen2.5:7b,3.60 (± 0.52),4.25 (± 0.62),2.98 (± 0.70),3.42 (± 0.55),3.91 (± 0.51),3.26 (± 1.00)
UAE,llama3.1:8b,4.43 (± 0.68),4.86 (± 0.38),3.23 (± 1.42),4.59 (± 0.63),4.47 (± 0.79),3.97 (± 1.22)
UAE,mistral:7b,2.41 (± 1.73),2.34 (± 1.77),2.52 (± 1.81),3.54 (± 1.71),2.00 (± 1.73),2.49 (± 1.85)
UAE,qwen2.5:72b,4.31 (± 0.47),4.71 (± 0.45),3.15 (± 0.41),4.50 (± 0.50),4.23 (± 0.43),3.58 (± 0.80)
UAE,llama3.3:70b,4.83 (± 0.38),5.00 (± 0.00),2.35 (± 0.76),4.91 (± 0.29),4.67 (± 0.47),4.11 (± 1.11)
UAE,mistral-large:123b,4.41 (± 0.62),4.48 (± 0.56),2.95 (± 0.87),4.40 (± 0.61),4.22 (± 0.60),4.05 (± 0.77)
UAE,qwen2.5:7b,3.83 (± 0.44),4.37 (± 0.57),3.09 (± 0.65),3.74 (± 0.50),3.94 (± 0.51),3.34 (± 0.87)
